model_name,dim_categ_col,dim_categ_dis,dim_categ_loud,dim_categ_noi,dim_numeric_col,dim_numeric_dis,dim_numeric_loud,dim_numeric_noi,mos_numeric_mos,dim_categ_col_n,dim_categ_dis_n,dim_categ_loud_n,dim_categ_noi_n,dim_numeric_col_n,dim_numeric_dis_n,dim_numeric_loud_n,dim_numeric_noi_n,mos_numeric_mos_n
xtts_2,3.778378378378379,3.875,3.9475000000000002,3.8475,3.8312500000000003,4.095833333333333,4.064583333333333,3.9270833333333335,4.220833333333333,37,40,40,40,48,48,48,48,48
metavoice,3.7977777777777777,3.88,3.9833333333333334,3.902439024390244,3.8874999999999997,4.016666666666667,3.9916666666666667,4.010416666666667,4.2,45,45,30,41,48,48,48,48,48
xtts_1,3.689473684210526,3.7720930232558136,3.9324324324324325,3.771052631578947,3.808333333333333,4.045833333333333,4.047916666666667,3.904166666666667,4.129166666666666,38,43,37,38,48,48,48,48,48
whisperspeech_medium,3.7717391304347827,3.883720930232558,3.9285714285714284,3.8782608695652177,3.8333333333333335,4.027083333333334,4.020833333333333,3.9583333333333335,4.083333333333333,46,43,28,46,48,48,48,48,48
tortoise,3.716279069767442,3.7333333333333334,3.8897435897435892,3.9047619047619047,3.7872340425531914,3.891489361702128,4.006382978723405,3.8978723404255318,4.080851063829788,43,39,39,42,47,47,47,47,47
whisperspeech_tiny,3.809090909090909,3.919512195121951,3.9384615384615387,3.9142857142857146,3.85,4.002083333333333,4.0062500000000005,3.939583333333333,4.045833333333333,44,41,26,42,48,48,48,48,48
whisperspeech_small,3.8046511627906976,3.857142857142857,3.96,3.9142857142857146,3.90625,3.9895833333333335,4.04375,3.966666666666667,4.041666666666667,43,42,35,42,48,48,48,48,48
parlertts_indic,3.7027027027027026,3.881081081081081,3.84375,3.895238095238095,3.766666666666667,3.975,3.9250000000000003,3.922916666666667,4.0375000000000005,37,37,32,42,48,48,48,48,48
whisperspeech_base,3.7651162790697676,3.8487804878048784,3.941666666666667,3.8545454545454545,3.875,4.004166666666666,3.9895833333333335,3.9458333333333333,4.033333333333333,43,41,36,44,48,48,48,48,48
f5,3.5976190476190473,3.726829268292683,3.9105263157894736,3.8512195121951223,3.6916666666666664,3.904166666666667,4.04375,3.8166666666666664,4.029166666666667,42,41,38,41,48,48,48,48,48
openvoice_1,3.7942857142857145,3.865789473684211,3.9470588235294115,3.817073170731707,3.877083333333333,4.0562499999999995,4.1000000000000005,3.8979166666666667,4.0249999999999995,35,38,17,41,48,48,48,48,48
openvoice_2,3.7909090909090906,3.908108108108108,3.9764705882352938,3.8342105263157893,3.889583333333333,4.054166666666666,4.19375,3.875,4.016666666666667,33,37,17,38,48,48,48,48,48
hierspeechpp_lt460,3.6707317073170733,3.9025641025641025,3.8600000000000003,3.6934782608695653,3.7937499999999997,4.0687500000000005,4.027083333333334,3.735416666666666,4.0,41,39,20,46,48,48,48,48,48
gptsovits_1,3.702439024390244,3.8833333333333333,3.8666666666666667,3.7571428571428576,3.8229166666666665,3.9812499999999997,4.014583333333333,3.747916666666667,4.0,41,42,21,42,48,48,48,48,48
fishspeech_1_2,3.5630434782608695,3.75,3.7600000000000002,3.725581395348837,3.702083333333333,3.966666666666667,3.9625,3.8020833333333335,3.975,46,34,20,43,48,48,48,48,48
e2,3.6404761904761904,3.8045454545454547,3.867857142857143,3.786363636363636,3.689583333333333,3.966666666666667,3.970833333333333,3.7416666666666667,3.966666666666667,42,44,28,44,48,48,48,48,48
hierspeechpp_lt960,3.647727272727273,3.8069767441860463,3.7782608695652176,3.6704545454545454,3.777083333333333,3.983333333333333,4.014583333333333,3.745833333333333,3.954166666666667,44,43,23,44,48,48,48,48,48
fishspeech_1_1_large,3.5500000000000003,3.768292682926829,3.6625,3.6574468085106386,3.5875,3.845833333333333,3.952083333333333,3.704166666666666,3.9499999999999997,46,41,32,47,48,48,48,48,48
hierspeechpp_1,3.6625,3.8533333333333335,3.7913043478260873,3.651111111111111,3.7687500000000003,3.9875000000000003,4.008333333333334,3.6374999999999997,3.9458333333333333,40,45,23,45,48,48,48,48,48
pheme,3.6256410256410256,3.8473684210526313,3.779166666666667,3.708888888888889,3.65,3.985416666666667,3.875,3.6458333333333335,3.9458333333333333,39,38,24,45,48,48,48,48,48
maskgct,3.5500000000000003,3.7097560975609754,3.625,3.6891304347826086,3.6374999999999997,3.8854166666666665,3.9333333333333336,3.775,3.9416666666666664,48,41,24,46,48,48,48,48,48
hierspeechpp_1_1,3.5772727272727276,3.8071428571428574,3.659090909090909,3.513333333333333,3.6750000000000003,3.952083333333333,3.9479166666666665,3.59375,3.9291666666666667,44,42,22,45,48,48,48,48,48
fishspeech_1_0_large,3.531111111111111,3.802439024390244,3.706896551724138,3.68936170212766,3.6624999999999996,3.8479166666666664,3.9583333333333335,3.766666666666666,3.9291666666666667,45,41,29,47,48,48,48,48,48
styletts2,3.5382978723404257,3.7700000000000005,3.6399999999999997,3.688888888888889,3.6604166666666664,3.9583333333333335,3.954166666666667,3.5854166666666667,3.9291666666666667,47,40,20,45,48,48,48,48,48
fishspeech_1_2_sft,3.5638297872340425,3.841176470588235,3.707142857142857,3.6978260869565216,3.766666666666666,3.8874999999999997,3.9895833333333335,3.814583333333333,3.9250000000000003,47,34,14,46,48,48,48,48,48
parlertts_mini_expresso,3.6307692307692307,3.844736842105263,3.7838709677419353,3.88,3.6937499999999996,4.010416666666667,3.84375,3.9,3.9166666666666665,39,38,31,45,48,48,48,48,48
fishspeech_1_4,3.5500000000000003,3.7864864864864862,3.642105263157895,3.7666666666666666,3.6291666666666664,3.827083333333333,3.920833333333333,3.7249999999999996,3.9,46,37,19,45,48,48,48,48,48
voicecraft_830,3.5634146341463415,3.7527777777777778,3.713636363636364,3.683333333333333,3.6770833333333335,3.85,3.8479166666666664,3.6875,3.8958333333333335,41,36,22,42,48,48,48,48,48
gptsovits_2,3.4863636363636363,3.690697674418604,3.5285714285714285,3.6,3.6354166666666665,3.9187499999999997,3.902083333333333,3.639583333333333,3.8708333333333336,44,43,21,46,48,48,48,48,48
GROUND_TRUTH,3.503738317757009,3.662,3.665432098765432,3.634482758620689,3.5516666666666667,3.8541666666666665,3.8641666666666667,3.6475,3.86,107,100,81,116,120,120,120,120,120
vevo,3.574468085106383,3.805263157894737,3.603333333333333,3.832558139534884,3.6166666666666667,3.904166666666667,3.8354166666666667,3.7562499999999996,3.845833333333333,47,38,30,43,48,48,48,48,48
naturalspeech2,3.4846153846153842,3.676470588235294,3.6578947368421053,3.721428571428571,3.4065217391304343,3.715217391304348,3.845652173913044,3.702173913043478,3.8347826086956522,26,34,19,42,46,46,46,46,46
parlertts_large_1_0,3.4697674418604647,3.7891891891891887,3.5060606060606063,3.6767441860465113,3.420833333333333,3.954166666666667,3.720833333333333,3.6687499999999997,3.8083333333333336,43,37,33,43,48,48,48,48,48
fishspeech_1_1,3.4450000000000003,3.75,3.3208333333333333,3.5078947368421054,3.53695652173913,3.930434782608696,3.843478260869565,3.5173913043478255,3.8000000000000003,40,36,24,38,46,46,46,46,46
fishspeech_1_5,3.4955555555555557,3.70625,3.5875,3.6717391304347826,3.591666666666667,3.8083333333333336,3.858333333333333,3.65,3.7875,45,32,24,46,48,48,48,48,48
fishspeech_1_0,3.3475,3.554054054054054,3.375,3.425,3.389361702127659,4.0212765957446805,3.7680851063829786,3.5106382978723403,3.7829787234042556,40,37,28,36,47,47,47,47,47
parlertts_mini_1_0,3.3244444444444445,3.7294117647058824,3.3205128205128207,3.551063829787234,3.3562499999999997,3.766666666666667,3.6145833333333335,3.5229166666666667,3.75,45,34,39,47,48,48,48,48,48
voicecraft_330,3.5048780487804874,3.7435897435897436,3.4250000000000003,3.583720930232558,3.4499999999999997,3.7702127659574467,3.75,3.6020833333333333,3.7458333333333336,41,39,24,43,48,47,48,48,48
parlertts_mini_0_1,3.2657894736842104,3.5037037037037035,3.296774193548387,3.6113636363636363,3.245833333333333,3.6687499999999997,3.5875,3.658333333333333,3.6916666666666664,38,27,31,44,48,48,48,48,48
