model_name,dim_categ_col,dim_categ_dis,dim_categ_loud,dim_categ_noi,dim_numeric_col,dim_numeric_dis,dim_numeric_loud,dim_numeric_noi,mos_numeric_mos,dim_categ_col_n,dim_categ_dis_n,dim_categ_loud_n,dim_categ_noi_n,dim_numeric_col_n,dim_numeric_dis_n,dim_numeric_loud_n,dim_numeric_noi_n,mos_numeric_mos_n
parlertts_mini_multilingual_1_1,3.5621621621621626,3.7518518518518515,3.641935483870968,3.8305555555555557,3.2583333333333333,3.8020833333333335,3.475,3.8020833333333335,3.6875,37,27,31,36,48,48,48,48,48
valle_v2,3.627027027027027,3.8228571428571434,3.1916666666666664,3.721621621621621,3.4791666666666665,3.975,3.533333333333333,3.5749999999999997,3.6479166666666667,37,35,24,37,48,48,48,48,48
speecht5,3.393617021276596,3.432142857142857,3.421875,3.3975609756097565,3.3874999999999997,3.7291666666666665,3.7541666666666664,3.43125,3.6208333333333336,47,28,32,41,48,48,48,48,48
parlertts_mini_multilingual_1_0,3.481818181818182,3.6666666666666665,3.630769230769231,3.8135135135135134,3.2624999999999997,3.952083333333333,3.3854166666666665,3.8812499999999996,3.56875,33,27,26,37,48,48,48,48,48
valle_base,3.038095238095238,3.024242424242424,3.171875,3.529787234042553,2.997916666666667,3.34375,3.6624999999999996,3.5749999999999997,3.4875000000000003,42,33,32,47,48,48,48,48,48
bark,3.095555555555556,3.1853658536585363,3.335294117647059,3.652173913043478,3.09375,3.314583333333333,3.7291666666666665,3.6999999999999997,3.4333333333333336,45,41,34,46,48,48,48,48,48
bark_small,2.853191489361702,2.914705882352941,2.9973684210526312,3.4545454545454546,2.761702127659574,3.0489361702127655,3.4680851063829787,3.546808510638298,3.3191489361702127,47,34,38,44,47,47,47,47,47
parlertts_mini_1_1,2.7976190476190474,3.315,2.793939393939394,3.2674418604651163,2.81875,3.627083333333333,3.1166666666666667,3.2895833333333333,3.204166666666667,42,20,33,43,48,48,48,48,48
valle_small,2.8380952380952382,3.0133333333333336,3.072222222222222,3.5289473684210524,2.775,3.1136363636363638,3.313636363636363,3.6454545454545455,3.122727272727273,42,30,36,38,44,44,44,44,44
parlertts_tiny_1_0,2.5475000000000003,2.7653846153846158,2.4157894736842103,2.895348837209302,2.5541666666666667,3.3312500000000003,2.9270833333333335,3.0833333333333335,2.9166666666666665,40,26,38,43,48,48,48,48,48
