model_name,dim_categ_col,dim_categ_dis,dim_categ_loud,dim_categ_noi,dim_numeric_col,dim_numeric_dis,dim_numeric_loud,dim_numeric_noi,mos_numeric_mos,dim_categ_col_n,dim_categ_dis_n,dim_categ_loud_n,dim_categ_noi_n,dim_numeric_col_n,dim_numeric_dis_n,dim_numeric_loud_n,dim_numeric_noi_n,mos_numeric_mos_n
whisperspeech_small,4.222222222222222,4.261764705882353,4.233333333333333,4.132608695652174,3.8166666666666664,4.3125,4.170833333333333,4.08125,4.2124999999999995,36,34,48,46,48,48,48,48,48
whisperspeech_tiny,4.188888888888889,4.267647058823529,4.2437499999999995,4.102222222222222,3.8208333333333333,4.283333333333333,4.208333333333333,4.122916666666667,4.170833333333333,36,34,48,45,48,48,48,48,48
whisperspeech_base,4.176470588235294,4.202857142857143,4.220833333333333,4.070212765957447,3.8354166666666667,4.264583333333333,4.120833333333334,4.045833333333333,4.154166666666667,34,35,48,47,48,48,48,48,48
metavoice,4.22,3.9028571428571426,4.215217391304348,3.9622222222222225,3.9729166666666664,4.302083333333333,4.202083333333333,4.160416666666666,4.145833333333333,25,35,46,45,48,48,48,48,48
whisperspeech_medium,4.215625,4.12,4.229166666666667,4.076086956521739,3.841666666666667,4.279166666666667,4.1312500000000005,4.035416666666666,4.108333333333333,32,30,48,46,48,48,48,48,48
f5,4.148387096774194,4.038235294117648,4.225531914893617,3.9543478260869565,3.902083333333333,4.26875,4.160416666666666,4.145833333333333,4.104166666666667,31,34,47,46,48,48,48,48,48
xtts_2,4.117241379310345,4.156756756756757,4.227659574468086,4.046808510638298,3.970833333333333,4.28125,4.202083333333333,4.1375,4.0874999999999995,29,37,47,47,48,48,48,48,48
xtts_1,4.1066666666666665,4.05,4.217391304347826,4.029545454545455,3.8791666666666664,4.26875,4.1499999999999995,4.066666666666666,4.045833333333333,30,40,46,44,48,48,48,48,48
tortoise,4.203333333333333,4.143243243243243,4.221739130434783,3.9152173913043478,3.817021276595745,4.263829787234043,4.127659574468085,4.093617021276596,4.042553191489362,30,37,46,46,47,47,47,47,47
hierspeechpp_lt460,4.222222222222222,3.934375,4.1978723404255325,3.813953488372093,3.827083333333333,4.239583333333333,4.166666666666667,4.05,4.033333333333333,27,32,47,43,48,48,48,48,48
fishspeech_1_2,4.151851851851852,4.0058823529411764,4.217391304347826,3.890909090909091,3.766666666666666,4.1937500000000005,4.1375,4.0125,3.9875000000000003,27,34,46,44,48,48,48,48,48
openvoice_1,4.148148148148148,4.096774193548387,4.217391304347826,3.9333333333333336,3.8249999999999997,4.266666666666667,4.116666666666666,4.054166666666666,3.9791666666666665,27,31,46,42,48,48,48,48,48
hierspeechpp_lt960,4.214814814814814,3.9916666666666663,4.206818181818182,3.7255813953488377,3.814583333333333,4.2250000000000005,4.127083333333333,4.039583333333334,3.975,27,36,44,43,48,48,48,48,48
hierspeechpp_1,4.226923076923077,4.041666666666667,4.195652173913044,3.6547619047619047,3.766666666666666,4.208333333333333,4.125,4.027083333333334,3.970833333333333,26,36,46,42,48,48,48,48,48
fishspeech_1_2_sft,4.18,4.091891891891892,4.1869565217391305,3.909090909090909,3.6604166666666664,4.2124999999999995,4.102083333333334,4.0125,3.966666666666667,25,37,46,44,48,48,48,48,48
gptsovits_1,4.15,4.026315789473684,4.206666666666667,3.802439024390244,3.80625,4.239583333333333,4.127083333333333,4.033333333333333,3.966666666666667,30,38,45,41,48,48,48,48,48
e2,4.074074074074074,3.72051282051282,4.214893617021277,3.9139534883720932,3.779166666666667,4.204166666666667,4.1625000000000005,4.0562499999999995,3.966666666666667,27,39,47,43,48,48,48,48,48
parlertts_mini_expresso,4.203448275862069,4.271875,4.2325,4.127027027027028,3.6666666666666665,4.279166666666667,3.9812499999999997,3.8562499999999997,3.920833333333334,29,32,40,37,48,48,48,48,48
