model_name,dim_categ_col,dim_categ_dis,dim_categ_loud,dim_categ_noi,dim_numeric_col,dim_numeric_dis,dim_numeric_loud,dim_numeric_noi,mos_numeric_mos,dim_categ_col_n,dim_categ_dis_n,dim_categ_loud_n,dim_categ_noi_n,dim_numeric_col_n,dim_numeric_dis_n,dim_numeric_loud_n,dim_numeric_noi_n,mos_numeric_mos_n
parlertts_indic,4.229629629629629,4.06969696969697,4.2295454545454545,3.988888888888889,3.6291666666666664,4.247916666666667,4.010416666666667,3.96875,3.8874999999999997,27,33,44,36,48,48,48,48,48
GROUND_TRUTH,4.176470588235294,3.9772151898734176,4.211711711711712,3.689423076923077,3.7708333333333335,4.1883333333333335,4.098333333333334,4.0125,3.885,51,79,111,104,120,120,120,120,120
openvoice_2,4.20909090909091,3.87,4.211363636363637,3.7829268292682925,3.904166666666667,4.2437499999999995,4.139583333333333,4.0625,3.8708333333333336,22,30,44,41,48,48,48,48,48
styletts2,4.078947368421052,3.634210526315789,4.195744680851064,3.774418604651163,3.7895833333333333,4.189583333333333,4.089583333333334,3.9916666666666667,3.8708333333333336,19,38,47,43,48,48,48,48,48
hierspeechpp_1_1,4.178260869565218,3.913888888888889,4.191304347826088,3.6116279069767443,3.71875,4.154166666666667,4.035416666666666,3.93125,3.8625000000000003,23,36,46,43,48,48,48,48,48
maskgct,4.129411764705883,3.656756756756757,4.206818181818182,3.747727272727273,3.766666666666667,4.208333333333333,4.1375,4.054166666666666,3.8625000000000003,17,37,44,44,48,48,48,48,48
vevo,4.221739130434783,3.58,4.211363636363637,3.802325581395349,3.68125,4.1812499999999995,4.041666666666667,3.939583333333333,3.8541666666666665,23,35,44,43,48,48,48,48,48
pheme,4.110526315789474,3.922222222222222,4.21304347826087,3.792682926829268,3.641666666666667,4.16875,4.083333333333333,3.9604166666666667,3.845833333333333,19,36,46,41,48,48,48,48,48
fishspeech_1_1_large,4.153333333333333,3.930769230769231,4.217021276595745,3.7195652173913047,3.8791666666666664,4.2375,4.095833333333333,3.9916666666666667,3.829166666666667,30,39,47,46,48,48,48,48,48
fishspeech_1_0_large,4.166666666666667,3.9942857142857147,4.214893617021277,3.8422222222222224,3.6916666666666664,4.1875,4.070833333333334,4.0125,3.7916666666666665,30,35,47,45,48,48,48,48,48
voicecraft_830,4.1695652173913045,3.796666666666667,4.188888888888889,3.751219512195122,3.69375,4.214583333333334,4.002083333333333,3.9270833333333335,3.7875,23,30,45,41,48,48,48,48,48
gptsovits_2,4.129166666666667,3.648717948717949,4.2,3.7704545454545455,3.733333333333333,4.183333333333334,4.116666666666666,4.010416666666667,3.783333333333333,24,39,47,44,48,48,48,48,48
parlertts_large_1_0,4.183333333333334,4.139024390243902,4.148936170212766,3.8391304347826085,3.49375,4.135416666666667,3.8708333333333336,3.814583333333333,3.779166666666667,30,41,47,46,48,48,48,48,48
fishspeech_1_4,4.104761904761905,3.8,4.2106382978723405,3.7435897435897436,3.6770833333333335,4.175,4.01875,3.935416666666667,3.7708333333333335,21,40,47,39,48,48,48,48,48
parlertts_mini_1_0,4.1875,3.8600000000000003,4.163829787234043,3.5275,3.6479166666666667,4.089583333333334,3.966666666666667,3.9,3.6958333333333333,24,40,47,40,48,48,48,48,48
fishspeech_1_5,4.05,3.8899999999999997,4.177777777777778,3.6568181818181817,3.5583333333333336,4.079166666666667,3.954166666666666,3.891666666666667,3.6916666666666664,20,40,45,44,48,48,48,48,48
voicecraft_330,4.173913043478261,4.05,4.204878048780488,3.6625,3.5541666666666667,4.127083333333333,3.860416666666667,3.84375,3.6833333333333336,23,30,41,40,48,48,48,48,48
parlertts_mini_0_1,4.1000000000000005,3.8925000000000005,4.170454545454546,3.5704545454545453,3.49375,4.002083333333333,3.766666666666666,3.6979166666666665,3.5583333333333336,27,40,44,44,48,48,48,48,48
fishspeech_1_0,4.0600000000000005,3.962962962962963,4.128260869565217,3.3704545454545456,3.5638297872340425,4.071739130434783,3.902127659574468,3.7630434782608693,3.557446808510638,20,27,46,44,47,46,47,46,47
fishspeech_1_1,4.206666666666667,3.7458333333333336,4.168888888888889,3.3822222222222225,3.5521739130434784,4.1,3.967391304347826,3.8844444444444446,3.534782608695652,15,24,45,45,46,46,46,45,46
valle_v2,4.15,3.9645161290322584,4.1875,3.775,3.360416666666666,4.154166666666667,3.5979166666666664,3.5395833333333333,3.404166666666667,26,31,40,44,48,48,48,48,48
parlertts_mini_multilingual_1_1,4.205555555555556,4.256666666666667,4.184210526315789,4.054545454545455,3.1625,4.235416666666667,3.5625,3.475,3.4,18,30,38,33,48,48,48,48,48
naturalspeech2,4.2,3.1676470588235297,4.158695652173913,3.266666666666667,3.404347826086956,4.058695652173912,3.9195652173913045,3.6652173913043478,3.3869565217391306,12,34,46,36,46,46,46,46,46
valle_base,4.085714285714286,3.182857142857143,4.120454545454546,3.6075000000000004,3.127083333333333,4.077083333333333,3.747916666666667,3.5208333333333335,3.283333333333333,14,35,44,40,48,48,48,48,48
bark,4.053333333333333,3.538095238095238,4.1288888888888895,3.6466666666666665,3.002083333333333,3.9729166666666664,3.6999999999999997,3.50625,3.1916666666666664,15,42,45,45,48,48,48,48,48
parlertts_mini_multilingual_1_0,4.180000000000001,4.159090909090909,4.2441176470588236,4.009677419354839,2.9416666666666664,4.264583333333333,3.36875,3.3000000000000003,3.1625,20,22,34,31,48,48,48,48,48
speecht5,3.1100000000000003,3.3325000000000005,4.077142857142857,3.314285714285714,3.139583333333333,3.9604166666666667,3.7395833333333335,3.6520833333333336,3.0666666666666664,10,40,35,42,48,48,48,48,48
bark_small,3.8461538461538463,3.1974358974358976,4.075,3.6102564102564108,2.7851063829787237,3.8382978723404255,3.551063829787234,3.1957446808510634,3.025531914893617,13,39,40,39,47,47,47,47,47
parlertts_mini_1_1,3.7714285714285714,3.738461538461539,3.8738095238095243,3.0775,2.94375,3.8333333333333335,3.4499999999999997,3.3312500000000003,3.0124999999999997,14,39,42,40,48,48,48,48,48
parlertts_tiny_1_0,3.484615384615385,3.354054054054054,3.737209302325582,3.0444444444444447,2.672916666666667,3.7270833333333333,3.1999999999999997,3.0375,2.6916666666666664,13,37,43,36,48,48,48,48,48
valle_small,3.814285714285714,3.3827586206896556,4.073529411764706,3.652941176470588,2.5136363636363637,3.997727272727273,3.3431818181818183,3.0090909090909093,2.6818181818181817,7,29,34,34,44,44,44,44,44
